# x	x->A	x->C	x->G	x->T	del	x->insertedA	x->insertedC	x->insertedG	x->insertedT
A	0	599620	781362	540031	48416	9754	3402.25	3381.75	9080
C	501568	0	395190	638686	16378	9754	3402.25	3381.75	9080
G	631820	405798	0	482292	17251	9754	3402.25	3381.75	9080
T	699284	878566	756130	0	44068	9754	3402.25	3381.75	9080
# entries not processed:
A->N	A	N	54979
C->N	C	N	35769
G->N	G	N	34525
N->A	N	A	23033
N->C	N	C	18890
N->G	N	G	17332
N->N	N	N	   0
N->T	N	T	29323
N->_	N	_	   9
T->N	T	N	56195
_->N	_	N	  13
_->_	_	_	   0
