#Quality	ErrorRate
0	1
1	0.794328
2	0.630957
3	0.501187
4	0.398107
5	0.316228
6	0.251189
7	0.199526
8	0.158489
9	0.125893
10	0.1
11	0.0794328
12	0.0630957
13	0.0501187
14	0.0398107
15	0.0316228
16	0.0251189
17	0.0199526
18	0.0158489
19	0.0125893
20	0.01
21	0.00794328
22	0.00630957
23	0.00501187
24	0.00398107
25	0.00316228
26	0.00251189
27	0.00199526
28	0.00158489
29	0.00125893
30	0.001
31	0.000794328
32	0.000630957
33	0.000501187
34	0.000398107
35	0.000316228
36	0.000251189
37	0.000199526
38	0.000158489
39	0.000125893
40	0.0001
41	7.94328e-05
42	6.30957e-05
43	5.01187e-05
44	3.98107e-05
45	3.16228e-05
46	2.51189e-05
47	1.99526e-05
48	1.58489e-05
49	1.25893e-05
50	0
